Date,Day,Hospital,Waiting Time,Attendance,BOR,Is_Holiday
2023-02-07,Tuesday,SGH,8.7,360.0,88.0,0
2023-02-07,Tuesday,SKH,18.9,330.0,92.9,0
2023-02-07,Tuesday,TTSH,8.6,368.0,98.7,0
2023-02-07,Tuesday,WH,,,,0
2023-02-08,Wednesday,AH,3.4,71.0,92.9,0
2023-02-08,Wednesday,CGH,18.9,365.0,89.9,0
2023-02-08,Wednesday,KTPH,26.2,320.0,95.2,0
2023-02-08,Wednesday,NTFGH,15.2,360.0,91.1,0
2023-02-08,Wednesday,NUH(A),5.8,289.0,85.4,0
2023-02-08,Wednesday,SGH,11.1,340.0,88.1,0
2023-02-08,Wednesday,SKH,17.0,364.0,93.3,0
2023-02-08,Wednesday,TTSH,6.5,359.0,98.8,0
2023-02-08,Wednesday,WH,,,,0
2023-02-09,Thursday,AH,3.7,73.0,94.7,0
2023-02-09,Thursday,CGH,11.6,384.0,89.9,0
2023-02-09,Thursday,KTPH,24.5,296.0,96.7,0
2023-02-09,Thursday,NTFGH,15.2,335.0,91.2,0
2023-02-09,Thursday,NUH(A),4.8,321.0,86.2,0
2023-02-09,Thursday,SGH,8.2,350.0,89.3,0
2023-02-09,Thursday,SKH,16.3,344.0,93.5,0
2023-02-09,Thursday,TTSH,7.0,364.0,98.1,0
2023-02-09,Thursday,WH,,,,0
2023-02-10,Friday,AH,10.0,63.0,94.0,0
2023-02-10,Friday,CGH,21.5,373.0,87.7,0
2023-02-10,Friday,KTPH,23.9,316.0,94.1,0
2023-02-10,Friday,NTFGH,19.4,321.0,92.7,0
2023-02-10,Friday,NUH(A),5.8,289.0,86.1,0
2023-02-10,Friday,SGH,9.5,311.0,88.2,0
2023-02-10,Friday,SKH,18.0,330.0,92.6,0
2023-02-10,Friday,TTSH,5.9,362.0,95.6,0
2023-02-10,Friday,WH,,,,0
2023-02-11,Saturday,AH,4.0,49.0,95.0,0
2023-02-11,Saturday,CGH,14.0,344.0,87.7,0
2023-02-11,Saturday,KTPH,19.3,280.0,96.9,0
2023-02-11,Saturday,NTFGH,8.1,317.0,93.7,0
2023-02-11,Saturday,NUH(A),3.0,290.0,83.6,0
2023-02-11,Saturday,SGH,3.7,304.0,85.2,0
2023-02-11,Saturday,SKH,15.9,285.0,90.6,0
2023-02-11,Saturday,TTSH,3.6,331.0,95.5,0
2023-02-11,Saturday,WH,,,,0
2023-02-12,Sunday,AH,5.9,69.0,95.7,0
2023-02-12,Sunday,CGH,9.6,305.0,87.8,0
2023-02-12,Sunday,KTPH,24.6,276.0,98.9,0
2023-02-12,Sunday,NTFGH,10.9,282.0,94.2,0
2023-02-12,Sunday,NUH(A),3.8,256.0,85.2,0
2023-02-12,Sunday,SGH,3.7,268.0,86.7,0
2023-02-12,Sunday,SKH,4.0,321.0,90.7,0
2023-02-12,Sunday,TTSH,4.9,324.0,97.7,0
2023-02-12,Sunday,WH,,,,0
2023-02-13,Monday,AH,6.7,79.0,92.6,0
2023-02-13,Monday,CGH,18.2,461.0,89.5,0
2023-02-13,Monday,KTPH,30.5,421.0,100.0,0
2023-02-13,Monday,NTFGH,26.3,390.0,94.2,0
2023-02-13,Monday,NUH(A),5.1,326.0,89.4,0
2023-02-13,Monday,SGH,8.2,399.0,88.3,0
2023-02-13,Monday,SKH,8.2,386.0,93.5,0
2023-02-13,Monday,TTSH,6.3,427.0,100.0,0
2023-02-13,Monday,WH,,,,0
2023-02-14,Tuesday,AH,5.2,47.0,94.0,0
2023-02-14,Tuesday,CGH,16.5,382.0,89.1,0
2023-02-14,Tuesday,KTPH,14.0,353.0,99.0,0
2023-02-14,Tuesday,NTFGH,19.3,317.0,94.1,0
2023-02-14,Tuesday,NUH(A),7.2,313.0,89.2,0
2023-02-14,Tuesday,SGH,11.7,318.0,89.1,0
2023-02-14,Tuesday,SKH,17.9,357.0,94.2,0
2023-02-14,Tuesday,TTSH,8.3,402.0,96.6,0
2023-02-14,Tuesday,WH,,,,0
2023-02-15,Wednesday,AH,2.8,65.0,92.9,0
2023-02-15,Wednesday,CGH,20.3,341.0,89.0,0
2023-02-15,Wednesday,KTPH,25.6,339.0,99.0,0
2023-02-15,Wednesday,NTFGH,18.5,338.0,92.1,0
2023-02-15,Wednesday,NUH(A),7.5,286.0,87.8,0
2023-02-15,Wednesday,SGH,7.1,293.0,89.8,0
2023-02-15,Wednesday,SKH,17.1,345.0,92.6,0
2023-02-15,Wednesday,TTSH,7.3,345.0,97.7,0
2023-02-15,Wednesday,WH,,,,0
2023-02-16,Thursday,AH,4.1,73.0,94.7,0
2023-02-16,Thursday,CGH,24.6,340.0,87.7,0
2023-02-16,Thursday,KTPH,27.7,269.0,97.2,0
2023-02-16,Thursday,NTFGH,15.0,329.0,93.2,0
2023-02-16,Thursday,NUH(A),5.4,284.0,89.8,0
2023-02-16,Thursday,SGH,7.8,303.0,90.4,0
2023-02-16,Thursday,SKH,14.1,351.0,93.0,0
2023-02-16,Thursday,TTSH,5.6,388.0,97.3,0
2023-02-16,Thursday,WH,,,,0
2023-02-17,Friday,AH,4.0,62.0,89.4,0
2023-02-17,Friday,CGH,18.8,373.0,88.0,0
2023-02-17,Friday,KTPH,20.1,274.0,95.7,0
2023-02-17,Friday,NTFGH,9.4,307.0,90.3,0
2023-02-17,Friday,NUH(A),7.8,264.0,88.3,0
2023-02-17,Friday,SGH,4.6,335.0,86.5,0
2023-02-17,Friday,SKH,19.1,346.0,92.0,0
